0RF1b,1B
3C-like serine protease motif,1A
3C-like serine proteinase,1A
CP,2
Capsid,2
Capsid precursor protein,2
NS,1A
NS1,1AB
NSP1a,1A
NSP1a protein,1A
NSP1ab,1AB
NSP1ab protein,1AB
Non-structural polyprotein 1A,1A
Non-structural polyprotein 1AB,1AB
Non-structural protein,1AB
Nsp1a,1A
OEF1b,1B
OFR1ab,1AB
OFR2,2
ORF 1a,1A
ORF 1ab,1AB
ORF 2,2
ORF-1a serine protease protein,1A
ORF-1b protein,1B
ORF-2 protein,2
ORF1A,1A
ORF1A nonstructural polyprotein,1A
ORF1AB,1AB
ORF1AB nonstructural polyprotein,1AB
ORF1B,1B
ORF1_1,1AB
ORF1_2,1AB
ORF1a,1A
ORF1a ORF1b,1AB
ORF1a polyprotein,1A
ORF1a protein,1A
ORF1ab,1AB
ORF1ab polyprotein,1AB
ORF1ab protein,1AB
ORF1b,1B
ORF1b protein,1B
ORF1b protein precursor,1B
ORF1b; translated by ribosomal frameshift,1B
ORF2,2
ORF2 protein,2
ORF2,2
Orf 1a,1A
Orf 1b,1B
Orf 2,2
Orf1a,1A
Orf1ab,1AB
Orf1b,1B
Orf2,2
Polyprotein 1ab,1AB
RDRP,1B
RNA dependant RNA polymerase,1B
RNA dependent RNA Polymerase,1B
RNA dependent RNA polymerase,1B
RNA polymerase,1B
RNA-Dependent RNA polymerase,1B
RNA-dependant RNA polymerase,1B
RNA-dependent RNA polymerase,1B
RNA-dependent RNA polymerase ORf1b,1B
RNA-dependent RNA polymerase gene,1B
RNA-dependent RNA polymerase motif,1B
RNA-dependent RNA polymerase protein,1B
RNA-dependent RNA-polymerase,1B
RNA-dependent polymerase,1B
RdRp,1B
RdRp polymerase,1B
RdRp protein,1B
S,2
VP90,2
capsid,2
capsid polyprotein VP90,2
capsid polyprotein precursor,2
capsid precursor,2
capsid precursor ORF2,2
capsid precursor protein,2
capsid precursor protein ORF2,2
capsid protein,2
capsid protein precursor,2
caspsid protein,2
Cp,2
non structural protein,1B
non-structural ORF1a polyprotein,1A
non-structural ORF1ab polyprotein,1AB
non-structural ORF1b polyprotein,1B
non-structural polyprotein,1AB
non-structural polyprotein 1A,1A
non-structural polyprotein 1AB,1AB
non-structural polyprotein 1a,1A
non-structural polyprotein 1ab,1AB
non-structural polyprotein ORF1a,1A
non-structural polyprotein ORF1b,1B
non-structural protein,1AB
non-structural protein 1a,1A
non-structural protein 1ab,1AB
non-structural protein 1b,1B
non-structural-protein,1B
non-structure polyprotein,1B
non-structure protein,1B
nonstructrial protein 1a,1A
nonstructural ORF1a polyprotein,1A
nonstructural ORF1ab polyprotein,1AB
nonstructural polyprotein,1AB
nonstructural polyprotein 1AB,1AB
nonstructural polyprotein 1a,1A
nonstructural polyprotein 1ab,1AB
nonstructural polyprotein ORF1a,1A
nonstructural polyprotein ORF1ab,1AB
nonstructural protein 1A,1A
nonstructural protein 1a,1A
nonstructural protein 1ab,1AB
nonstructural protein 1b,1B
nonstructural protein NSP1a,1A
nonstructural protein NSP1ab,1AB
nonstructural protein ORF1b,1B
nonstructural protein RdRp,1B
nonstructural protein nsP1a,1A
nonstructural protein nsp1a,1A
nonstructural protein nsp1ab,1AB
nonstructural protein nspla,1AB
nonstructural protein nsplab,1AB
putative RNA-dependant RNA polymerase,1B
putative serine protase,1A
nsp1a,1A
nsp1ab,1AB
nsp2,2
orf 1a,1A
orf 1b,1B
orf 2,2
orf1a,1A
orf1a polyprotein (pp1a),1A
orf1ab,1AB
orf1ab polyprotein,1AB
orf1ab polyprotein (orf1ab),1AB
orf1ab polyprotein (pp1ab),1AB
orf1b,1B
orf2,2
orf2 protein,2
outer capsid precursor,2
outer capsid protein,2
outer capsid protein precursor,2
pol,1B
pol protein,1B
pol1b,1B
polymerase,1B
polymerase 1b,1B
polymerase 1b protein,1B
polymerase protein,1B
polyprotein,1AB
polyprotein 1A,1A
polyprotein 1AB,1AB
polyprotein 1B,1B
polyprotein 1a,1A
polyprotein 1ab,1AB
polyprotein 1b,1B
polyprotein ORF1a,1A
polyprotein ORF1ab,1AB
polyprotein ORF1b,1B
putative RNA dependent RNA polymerase,1B
putative RNA-dependent RNA polymerase,1B
putative RNA-dependent polymerase,1B
putative RdRp,1B
putative capsid protein,2
putative serine protase,1A
putative serine protease,1A
rdrp,1B
serine protease,1A
structural capsid protein ORF2,2
structural polyprotein,2
structural protein,2
truncated capsid protein,2
truncated capsid protein precursor,2
trypsin-like serine protease,1A
viral protease,1A
virus capsid polyprotein,2
