host,cellular root,domain,clade,kingdom,phylum,subphylum,superclass,class,superorder,order,suborder,infraorder,parvorder,family,genus,species,subfamily,superfamily,infraclass,tribe,subgenus,subspecies,subclass,cohort,species group,subcohort
Tursiops truncatus,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Delphinidae,Tursiops,Tursiops truncatus,,,,,,,,,,
Zalophus californianus,cellular organisms,Eukaryota,Pinnipedia,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Carnivora,Caniformia,,,Otariidae,Zalophus,Zalophus californianus,,,,,,,,,,
Taphozous melanopogon,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yangochiroptera,,,Emballonuridae,Taphozous,Taphozous melanopogon,Taphozoinae,,,,,,,,,
Miniopterus magnater,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yangochiroptera,,,Miniopteridae,Miniopterus,Miniopterus magnater,,,,,,,,,,
Pipistrellus abramus,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yangochiroptera,,,Vespertilionidae,Pipistrellus,Pipistrellus abramus,,,,,,,,,,
Miniopterus pusillus,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yangochiroptera,,,Miniopteridae,Miniopterus,Miniopterus pusillus,,,,,,,,,,
Hipposideros pomona,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yinpterochiroptera,,,Hipposideridae,Hipposideros,Hipposideros pomona,,Rhinolophoidea,,,,,,,,
Budorcas taxicolor tibetana,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,,Bovidae,Budorcas,Budorcas tibetana,Caprinae,,,,,,,,,
Rattus norvegicus,cellular organisms,Eukaryota,Muroidea,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Euarchontoglires,Rodentia,Myomorpha,,,Muridae,Rattus,Rattus norvegicus,Murinae,,,,,,,,,
Homo sapiens,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominidae,Homo,Homo sapiens,Homininae,Hominoidea,,,,,,,,
Chiroptera,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,,,,,,,,,,,,,,,,
Sus scrofa,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Artiodactyla,Suina,,,Suidae,Sus,Sus scrofa,,,,,,,,,,
Anser,cellular organisms,Eukaryota,Coelurosauria,Metazoa,Chordata,Craniata,Sarcopterygii,Aves,Galloanserae,Anseriformes,,,,Anatidae,Anser,,Anserinae,,Neognathae,,,,,,,
