Accession,Description,Length
PV975263.1,1. UNVERIFIED: Mamastrovirus 13 isolate sheep/HA6 genomic sequence,"6,411 bp linear RNA"
PV975262.1,2. UNVERIFIED: Mamastrovirus 13 isolate sheep/HA22106 genomic sequence,"6,250 bp linear RNA"
PV972769.1,"3. UNVERIFIED: Mamastrovirus 13 isolate Ferri_08_N_ORF2_ASTV_GOAT_MILK_PR3 ORF2 gene, partial sequence",397 bp linear RNA
PV972768.1,"4. UNVERIFIED: Mamastrovirus 13 isolate Ferri_07B_N_ASTV_GOAT_MILK_PR2 ORF2 gene, partial sequence",256 bp linear RNA
PV972767.1,"5. UNVERIFIED: Mamastrovirus 13 isolate Ferri_07_N_ORF2_ASTV_GOAT_MILK_PR1 ORF2 gene, partial sequence",360 bp linear RNA
PV972766.1,"6. UNVERIFIED: Mamastrovirus 13 isolate Ferri_05_N_ORF2_GOAT_MILK_BG4 ORF2 gene, partial sequence",460 bp linear RNA
PV972765.1,"7. UNVERIFIED: Mamastrovirus 13 isolate Ferri_04_N_ORF2_ASTV_GOAT_MILK_BG3 ORF2 gene, partial sequence",360 bp linear RNA
PV972764.1,"8. UNVERIFIED: Mamastrovirus 13 isolate Ferri_03_N_ORF2_ASTV_GOAT_MILK_BG2 ORF2 gene, partial sequence",400 bp linear RNA
PV972763.1,"9. UNVERIFIED: Mamastrovirus 13 isolate Ferri_02_N_ORF2_ASTV_GOAT_MILK_BG1 ORF2 gene, partial sequence",257 bp linear RNA
PV972762.1,"10. UNVERIFIED: Mamastrovirus 13 isolate Ferri_01_N_ORF2_ASTV_GOAT_MILK_O ORF2 gene, partial sequence",460 bp linear RNA
PQ569844.1,11. UNVERIFIED: Bastrovirus sp. isolate S9_k141_10240_rc sequence,652 bp linear RNA
PV335595.1,12. UNVERIFIED: California sea lion astrovirus 3 isolate k141_28814 sequence,380 bp linear RNA
PV335594.1,13. UNVERIFIED: New Zealand sea lion astrovirus 1 isolate k141_52051 sequence,"6,655 bp linear RNA"
PV335593.1,14. UNVERIFIED: California sea lion astrovirus 8 isolate k141_65084 sequence,"7,295 bp linear RNA"
PQ777147.1,"15. UNVERIFIED: Canine astrovirus isolate 255D capsid protein-like gene, complete sequence","2,502 bp linear RNA"
PQ777146.1,"16. UNVERIFIED: Canine astrovirus isolate 247D capsid protein-like gene, complete sequence","2,502 bp linear RNA"
PQ777145.1,"17. UNVERIFIED: Canine astrovirus isolate 393D capsid protein-like gene, complete sequence","2,502 bp linear RNA"
PQ777144.1,"18. UNVERIFIED: Canine astrovirus isolate 366D capsid protein-like gene, complete sequence","2,502 bp linear RNA"
PQ777143.1,"19. UNVERIFIED: Canine astrovirus isolate 370D capsid protein-like gene, complete sequence","2,502 bp linear RNA"
PQ777142.1,"20. UNVERIFIED: Canine astrovirus isolate 371D capsid protein-like gene, complete sequence","2,502 bp linear RNA"
PQ777141.1,"21. UNVERIFIED: Canine astrovirus isolate 382D capsid protein-like gene, complete sequence","2,472 bp linear RNA"
PQ777140.1,"22. UNVERIFIED: Canine astrovirus isolate 432D capsid protein-like gene, complete sequence","2,475 bp linear RNA"
PQ777139.1,"23. UNVERIFIED: Canine astrovirus isolate 396D capsid protein-like gene, complete sequence","2,475 bp linear RNA"
PQ777138.1,"24. UNVERIFIED: Canine astrovirus isolate 392D capsid protein-like gene, complete sequence","2,472 bp linear RNA"
PQ777137.1,"25. UNVERIFIED: Canine astrovirus isolate 385D capsid protein-like gene, complete sequence","2,475 bp linear RNA"
PQ777136.1,"26. UNVERIFIED: Canine astrovirus isolate 387D capsid protein-like gene, complete sequence","2,472 bp linear RNA"
PQ777135.1,"27. UNVERIFIED: Canine astrovirus isolate 87D capsid protein-like gene, complete sequence","2,304 bp linear RNA"
PQ777134.1,"28. UNVERIFIED: Canine astrovirus isolate 283D capsid protein-like gene, complete sequence","2,505 bp linear RNA"
PQ777133.1,"29. UNVERIFIED: Canine astrovirus isolate 95D capsid protein-like gene, complete sequence","2,328 bp linear RNA"
