Accession,BioSample,Organism_Name,Species,Genus,Family,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
NC_043096,,Bottlenose dolphin astrovirus 1,Mamastrovirus tursiopis,Mamastrovirus,Astroviridae,,,3990,complete,USA,USA,Tursiops truncatus,feces,,2007,2019-06-28,ssRNA(+)
NC_043097,,Mamastrovirus 11,Mamastrovirus californiani,Mamastrovirus,Astroviridae,,,3179,complete,USA,USA,Zalophus californianus,feces,,2006,2019-06-28,ssRNA(+)
NC_043098,,Bat astrovirus Tm/Guangxi/LD71/2007,Mamastrovirus vespertilionis,Mamastrovirus,Astroviridae,,LD71,3975,complete,China:Guangxi,China,Taphozous melanopogon,,,2007-06-08,2019-06-28,ssRNA(+)
NC_043099,,Mamastrovirus 14,Mamastrovirus miniopteri,Mamastrovirus,Astroviridae,,AFCD57,3371,complete,China: Hong Kong,China,Miniopterus magnater,,"Chu,D.K.W., Poon,L.L.M., Guan,Y., Peiris,J.S.M.",2005,2019-06-28,ssRNA(+)
NC_043100,,Bat astrovirus Tm/Guangxi/LD77/2007,Mamastrovirus taphozoi,Mamastrovirus,Astroviridae,,LD77,3875,complete,China:Guangxi,China,Taphozous melanopogon,,,2007-06-08,2019-06-28,ssRNA(+)
NC_043101,,Mamastrovirus 16,Mamastrovirus pipistrelli,Mamastrovirus,Astroviridae,,AFCD11,3180,complete,China: Hong Kong,China,Pipistrellus abramus,,"Chu,D.K.W., Poon,L.L.M., Guan,Y., Peiris,J.S.M.",2005,2019-06-28,ssRNA(+)
NC_043102,,Mamastrovirus 18,Mamastrovirus pusilli,Mamastrovirus,Astroviridae,,AFCD337,5083,complete,China: Hong Kong,China,Miniopterus pusillus,,"Chu,D.K.W., Poon,L.L.M., Guan,Y., Peiris,J.S.M.",2006,2019-06-28,ssRNA(+)
NC_043103,,Bat astrovirus Tm/Guangxi/LD38/2007,Mamastrovirus guangxiense,Mamastrovirus,Astroviridae,,LD38,4241,complete,China:Guangxi,China,Taphozous melanopogon,,,2007-06-08,2019-06-28,ssRNA(+)
NC_043416,,Astrovirus dogfaeces/Italy/2005,Mamastrovirus canis,Mamastrovirus,Astroviridae,,,2756,complete,,,,feces,"Toffan,A., Jonassen,C.M., De Battisti,C., Schiavon,E., Kofstad,T., Capua,I., Cattoli,G.",2005,2019-06-28,ssRNA(+)
NC_040647,,Culex Bastrovirus-like virus,Culex Bastrovirus-like virus,,Astroviridae,,,5415,complete,USA,USA,,,"Sadeghi,M., Altan,E., Deng,X., Barker,C.M., Fang,Y., Coffey,L.L., Delwart,E., Coffey,L.",2016-07-02,2019-02-12,ssRNA(+)
NC_038368,,Bat astrovirus Hp/Guangxi/LC03/2007,Mamastrovirus hipposideri,Mamastrovirus,Astroviridae,,LC03,2403,complete,China:Guangxi,China,Hipposideros pomona,,,2007-06-06,2018-08-24,ssRNA(+)
NC_037655,,Sichuan takin astrovirus,Sichuan takin astrovirus,,Astroviridae,,LLT03,6233,complete,China,China,Budorcas taxicolor tibetana,,"Guan,T.P., Teng,J.L., Yeong,K.Y., You,Z.Q., Liu,H., Wong,S.S., Lau,S.K., Woo,P.C., Guan,T.-P., Teng,J.L.L., Wong,S.S.Y., Lau,S.K.P., Woo,P.C.Y.",2013,2018-06-22,ssRNA(+)
