id,gene
PX095696.1,
PX113257.1,2
PX113255.1,1A
PV793827.1,1A
PV793829.1,1A
PV793828.1,2
PV793826.1,1A
PV793833.1,1B
PV793831.1,1B
PQ421854.1,
PQ421847.1,
PG036822.1,
PG036821.1,
PQ573797.1,1A
PQ573796.1,1A
PP272729.1,1AB
OR951096.1,1B
OR951094.1,1B
OR951092.1,1B
OR951091.1,1B
OR951090.1,1B
OR951089.1,1B
OR951083.1,1B
OR951078.1,1B
OR951077.1,1B
OR951073.1,1B
OR951070.1,1B
OR951069.1,1B
OR951067.1,1B
OR951064.1,1B
OR951057.1,1B
OR951054.1,1B
OR951050.1,1B
OR951039.1,1B
OR951031.1,1B
OR951020.1,1B
OR951015.1,1B
OR951012.1,1B
OR951009.1,1B
OR951008.1,1B
OR800314.1,1B
OR645486.1,2
OQ802762.1,
OQ802761.1,
OQ802757.1,
OQ802714.1,
OR234613.1,
OR234607.1,
OK483336.1,
OK483335.1,
MN977118.1,
ON304004.1,2
OM954095.1,
OM953853.1,
MW310482.1,
MW310480.1,
MW310478.1,
MW310470.1,
MW310467.1,
MW310464.1,
MW310462.1,
OL739531.1,1AB
MZ476779.1,1B
MZ375144.1,1AB
MW924356.1,2
MW853972.1,
MP874220.1,
MP874219.1,
MW347540.1,
MW347048.1,1B
MW346737.1,1B
MT896156.1,2
MT896155.1,2
MG846413.1,2
KC411816.1,2
MF973528.1,1A
MF973527.1,1A
MF973526.1,1A
MF973525.1,1A
MF973524.1,1A
MF973523.1,1A
MF973522.1,1A
MF973521.1,1A
MF973520.1,1A
MF973519.1,1A
MF973518.1,1A
MF973517.1,1A
MF973516.1,1A
MF973515.1,1A
MF973514.1,1A
MF973513.1,1A
MF973512.1,1A
MF973511.1,1A
MF973510.1,1A
MF973509.1,1A
MF973508.1,1A
MF973507.1,1A
MF973506.1,1A
MF973505.1,1A
MF973504.1,1A
MF973503.1,1A
MF973502.1,
KU510484.1,1B
KU510483.1,1B
KU510482.1,1B
KU510481.1,1B
KU510480.1,1B
KU510479.1,1B
KU510478.1,1B
KU510477.1,1B
KU510476.1,1B
KU510475.1,1B
KU510474.1,1B
KU510473.1,1B
KU510472.1,1B
KU510471.1,1B
KU510470.1,1B
KU510469.1,1B
KU510468.1,1B
KU510467.1,1B
KU510466.1,1B
KU510465.1,1B
KU510464.1,1B
KU510463.1,1B
KU510462.1,1B
KU510461.1,1B
KU510460.1,1B
KU510459.1,1B
KU510458.1,1B
KU510457.1,1B
KU510456.1,1B
KU510455.1,1B
KU510454.1,1B
KU510453.1,1B
KU510452.1,1B
KU510451.1,1B
KU510450.1,1B
KU510449.1,1B
KU510448.1,1B
KU510447.1,1B
KU510446.1,1B
KU510445.1,1B
KU510444.1,1B
KU510443.1,1B
KU510442.1,1B
KU510441.1,1B
DQ327618.1,2
DQ327617.1,2
DQ327616.1,2
DQ327615.1,2
DQ327614.1,2
DQ327613.1,2
DQ327612.1,2
DQ327611.1,2
DQ327610.1,2
DQ327609.1,2
DQ327608.1,2
DQ066575.1,
DQ066559.1,
AY831433.1,2
HQ623129.1,2
HQ623126.1,2
HM756267.1,1B
HM756264.1,
HM756263.1,
GU216586.1,2
AY027809.1,
KX290465.1,
KF211466.1,2
KT852446.1,1B
KT852439.1,1B
KT852437.1,
KT852436.1,1B
KT852435.1,1B
KT852434.1,1B
KT852433.1,1B
KT852432.1,
KT852431.1,1B
KT852430.1,1B
KT852429.1,1B
KT852428.1,1B
KT852427.1,1B
KT852426.1,1B
KT852425.1,1B
KT852424.1,1B
KT852423.1,1B
KT852422.1,1B
KT852421.1,1B
KT852420.1,1B
KT852419.1,1B
KT852418.1,1B
KT852417.1,1B
KT852416.1,1B
KT852415.1,1B
KT852414.1,1B
KT852413.1,1B
KT852412.1,1B
KT852411.1,1B
KT852410.1,1B
KT852409.1,1B
KT852408.1,1B
KT852407.1,1B
KT852406.1,1B
KT852405.1,1B
KT852404.1,1B
KT852403.1,1B
KT852402.1,1B
KT852401.1,1B
KT852400.1,1B
KT852399.1,1B
KT852398.1,1B
KT852397.1,1B
KT852396.1,1B
KT852395.1,1B
KT852394.1,1B
KT852393.1,1B
KT852392.1,1B
KT852391.1,1B
KT852390.1,1B
KT852389.1,1B
KT852388.1,1B
KT852387.1,1B
KT852386.1,1B
KT852385.1,1B
KT852384.1,1B
KT852383.1,1B
KT852382.1,1B
KT852381.1,1B
KT852380.1,1B
KT852445.1,1B
KT852444.1,1B
KT852443.1,1B
KT852442.1,1B
KT852441.1,1B
KT852440.1,1B
KT852438.1,1B
KT852448.1,2
KT852447.1,2
KM408171.1,2
KM408170.1,2
KR187145.1,1B
KR138648.1,1B
KR138620.1,1B
S47249.1,
KC599256.1,1B
KF920601.1,
AB634860.1,
AB634859.1,1B
AB634858.1,
AB634857.1,
AB634856.1,2
JA764495.1,
HQ647383.1,2
HQ647382.1,
HQ647381.1,
HQ662579.1,
GU938474.1,1A
GU938473.1,1B
EF490429.1,1A
HI137386.1,
FJ160481.1,2
GQ174472.1,2
GQ174471.1,2
GQ174470.1,2
GQ174469.1,2
GQ174468.1,2
GQ174467.1,2
GQ174466.1,2
GQ174465.1,2
GQ174464.1,2
GQ174463.1,2
GQ174462.1,2
GQ174461.1,2
GQ174460.1,2
GQ174459.1,2
GQ174458.1,2
GQ174457.1,2
GQ174456.1,2
GQ174455.1,2
GQ174454.1,2
GQ174453.1,2
GQ174452.1,2
GQ174451.1,2
GQ174450.1,2
GQ174449.1,2
GQ174448.1,2
GQ174447.1,2
GQ174446.1,2
GQ174445.1,2
GQ174444.1,2
GQ174443.1,2
GQ174442.1,2
GQ174441.1,2
GQ174440.1,2
GQ174439.1,2
GU222334.1,
GU222333.1,
GU222332.1,
GU222331.1,
GU222330.1,
GU222348.1,
GU222347.1,
GU222346.1,
GU222345.1,
GU222344.1,
GU222343.1,
GU222342.1,
GU222341.1,
GU222340.1,
GU222339.1,
GU222338.1,
GU222337.1,
GU222336.1,
GU222335.1,
AY304452.1,2
AY257977.1,1A
Z16420.1,1AB
Z11682.1,
