Accession,Description,Length,Part_1,Part_2,Part_3
PX095946.1,"1. MAG: Mamastrovirus sp. isolate DL/G.himalayensis/Mav capsid protein precursor, gene, partial cds; nonstructural protein NSP1ab gene, complete cds; and nonstructural protein NSP1a gene, partial cds","3,691 bp linear RNA","1. MAG: Mamastrovirus sp. isolate DL/G.himalayensis/Mav capsid protein precursor, gene, partial cds"," nonstructural protein NSP1ab gene, complete cds"," and nonstructural protein NSP1a gene, partial cds"
PX095874.1,"2. MAG: Astroviridae sp. isolate WL/A.anser/Ast-1 capsid protein gene, complete cds; and RNA-dependent RNA polymerase gene, partial cds","2,893 bp linear RNA","2. MAG: Astroviridae sp. isolate WL/A.anser/Ast-1 capsid protein gene, complete cds"," and RNA-dependent RNA polymerase gene, partial cds",
PX095873.1,"3. MAG: Astroviridae sp. isolate WL/A.anser/Ast RNA-dependent RNA polymerase and hypothetical protein genes, partial cds","1,249 bp linear RNA","3. MAG: Astroviridae sp. isolate WL/A.anser/Ast RNA-dependent RNA polymerase and hypothetical protein genes, partial cds",,
PX095817.1,"4. MAG: Avastrovirus sp. isolate WL/A.anser/Aav capsid protein gene, complete cds; RNA-dependent RNA polymerase-like gene, partial sequence; and nonstructural polyprotein gene, partial cds","7,273 bp linear RNA","4. MAG: Avastrovirus sp. isolate WL/A.anser/Aav capsid protein gene, complete cds"," RNA-dependent RNA polymerase-like gene, partial sequence"," and nonstructural polyprotein gene, partial cds"
PX095816.1,"5. MAG: Mamastrovirus sp. isolate SQ/N.fuscus/Mav-3 capsid protein gene, complete cds; and ORF1ab polyprotein gene, partial cds","4,576 bp linear RNA","5. MAG: Mamastrovirus sp. isolate SQ/N.fuscus/Mav-3 capsid protein gene, complete cds"," and ORF1ab polyprotein gene, partial cds",
PX095815.1,"6. MAG: Mamastrovirus sp. isolate SQ/N.fuscus/Mav-2 ORF1ab polyprotein gene, partial cds",592 bp linear RNA,"6. MAG: Mamastrovirus sp. isolate SQ/N.fuscus/Mav-2 ORF1ab polyprotein gene, partial cds",,
PX095814.1,"7. MAG: Mamastrovirus sp. isolate SQ/N.fuscus/Mav-1 ORF1ab polyprotein gene, partial cds",582 bp linear RNA,"7. MAG: Mamastrovirus sp. isolate SQ/N.fuscus/Mav-1 ORF1ab polyprotein gene, partial cds",,
PX095800.1,"8. MAG: Mamastrovirus sp. isolate DL/P.nayaur/Mav-1 nonstructural protein NSP1a and nonstructural protein NSP1ab genes, partial cds; and capsid protein precursor, gene, complete cds","6,441 bp linear RNA","8. MAG: Mamastrovirus sp. isolate DL/P.nayaur/Mav-1 nonstructural protein NSP1a and nonstructural protein NSP1ab genes, partial cds"," and capsid protein precursor, gene, complete cds",
PX095793.1,"9. MAG: Mamastrovirus sp. isolate SQ/C.kamensis/Mav capsid protein gene, complete cds; RNA-dependent RNA polymerase-like gene, partial sequence; and nonstructural protein NSP1a gene, complete cds","8,235 bp linear RNA","9. MAG: Mamastrovirus sp. isolate SQ/C.kamensis/Mav capsid protein gene, complete cds"," RNA-dependent RNA polymerase-like gene, partial sequence"," and nonstructural protein NSP1a gene, complete cds"
PX095754.1,"10. MAG: Mamastrovirus sp. isolate DL/P.nayaur/Mav hypothetical protein gene, partial cds","1,113 bp linear RNA","10. MAG: Mamastrovirus sp. isolate DL/P.nayaur/Mav hypothetical protein gene, partial cds",,
