id,1A,1B,2
PX148103,NA-NA,0-99,91-171
PX132666,NA-NA,2-284,276-767
PX132665,NA-NA,2-284,276-767
PX132664,NA-NA,1-262,254-749
PP239060,NA-NA,0-1149,1177-3316
PX171445,NA-NA,0-147,NA-NA
MW826416,5-2636,2917-4120,3929-6974
PX146716,NA-NA,NA-NA,16-2233
PX095946,2947-3691,1473-2925,0-1493
PX095874,NA-NA,2209-2893,657-2145
PX095873,NA-NA,0-812,NA-NA
PX095817,NA-NA,3907-7273,171-2142
PX095816,NA-NA,3076-4576,85-3082
PX095815,NA-NA,34-592,NA-NA
PX095814,NA-NA,0-582,NA-NA
PX095800,2-2570,2587-4090,4028-6362
PX095793,4451-7190,NA-NA,98-2966
PX095754,NA-NA,NA-NA,NA-NA
PX095750,NA-NA,0-2793,4263-7398
PX095749,0-2832,3002-4364,4353-6936
PX095698,NA-NA,2-494,523-2743
PX095697,NA-NA,2-677,NA-NA
PX095696,NA-NA,NA-NA,NA-NA
PX095695,846-2862,NA-NA,NA-NA
PX113257,NA-NA,NA-NA,NA-NA
PX113256,NA-NA,NA-NA,24-691
PX113255,NA-NA,NA-NA,NA-NA
PX113254,NA-NA,NA-NA,NA-NA
PX113253,24-2604,2489-4076,3930-6374
PX113252,1-2704,NA-NA,4021-6367
PX113251,6-2496,NA-NA,3846-6234
PV067282,NA-NA,NA-NA,0-368
PV999259,NA-NA,NA-NA,0-132
PV999258,NA-NA,0-1206,1224-1530
PV999257,NA-NA,1-1296,NA-NA
PV999256,NA-NA,1-274,263-358
PV999255,NA-NA,0-348,NA-NA
PV979748,3978-6204,2479-3898,NA-NA
PV979747,7-2263,2262-3966,3760-4302
PV987765,18-2433,2432-3923,3915-6201
PP980351,NA-NA,0-726,538-3055
PP980350,NA-NA,2623-4159,3971-6500
PP980349,NA-NA,0-726,538-3034
PP980348,NA-NA,0-726,538-3034
PP980347,NA-NA,0-726,538-3034
PP980346,NA-NA,0-726,538-3034
PP980345,NA-NA,0-726,538-3034
PP980344,NA-NA,2623-4159,3971-6467
PP980343,NA-NA,0-726,538-3016
PP980342,NA-NA,0-726,538-3034
PP980341,NA-NA,0-726,538-3034
PP980340,NA-NA,0-726,538-3034
PP980339,NA-NA,0-726,538-3034
PV983331,NA-NA,0-810,NA-NA
PV793827,NA-NA,NA-NA,NA-NA
PV793829,NA-NA,NA-NA,NA-NA
PV793828,NA-NA,NA-NA,NA-NA
