id,1A,1B,2
PX095874,NA-NA,2209-2893,NA-NA
PX095873,NA-NA,0-812,NA-NA
PV999259,NA-NA,NA-NA,NA-NA
PV999258,NA-NA,0-1206,NA-NA
PV999257,NA-NA,1-1296,NA-NA
PV999256,NA-NA,1-274,NA-NA
PV999255,NA-NA,0-348,NA-NA
PV979748,2479-3898,NA-NA,NA-NA
PV979747,7-2263,2262-3966,NA-NA
PV983331,0-810,NA-NA,NA-NA
PV793827,NA-NA,NA-NA,NA-NA
PV793826,NA-NA,NA-NA,NA-NA
PV793833,NA-NA,NA-NA,NA-NA
PV793832,NA-NA,284-1823,NA-NA
PV793831,NA-NA,NA-NA,NA-NA
PV793830,NA-NA,566-2120,NA-NA
PV880246,NA-NA,NA-NA,NA-NA
PV880245,NA-NA,NA-NA,NA-NA
PV880244,125-2567,2566-3790,NA-NA
PV880243,0-354,353-1868,NA-NA
PV880242,NA-NA,NA-NA,NA-NA
PV880241,NA-NA,NA-NA,NA-NA
PV880240,NA-NA,NA-NA,NA-NA
PV880239,0-1932,1931-2403,NA-NA
PV880238,0-42,41-1550,NA-NA
PQ421854,NA-NA,NA-NA,NA-NA
PQ421853,NA-NA,NA-NA,NA-NA
PQ421852,NA-NA,NA-NA,NA-NA
PQ421851,NA-NA,NA-NA,NA-NA
PQ421850,2832-4341,NA-NA,NA-NA
PQ421849,2505-4005,NA-NA,NA-NA
PQ421848,NA-NA,NA-NA,NA-NA
PQ421847,NA-NA,NA-NA,NA-NA
PQ421846,NA-NA,NA-NA,NA-NA
PQ421845,NA-NA,NA-NA,NA-NA
PQ421844,NA-NA,NA-NA,NA-NA
PQ421843,NA-NA,NA-NA,NA-NA
PQ421842,NA-NA,NA-NA,NA-NA
PQ421841,NA-NA,NA-NA,NA-NA
PV853945,42-2424,2423-3938,NA-NA
PV843273,NA-NA,2748-4251,NA-NA
PV838124,NA-NA,0-308,NA-NA
PV838123,NA-NA,0-308,NA-NA
PV838122,NA-NA,0-308,NA-NA
PV838121,NA-NA,0-308,NA-NA
PV838120,NA-NA,0-308,NA-NA
PV838119,NA-NA,0-308,NA-NA
PV838118,NA-NA,0-308,NA-NA
PV838117,NA-NA,0-308,NA-NA
PV791158,NA-NA,NA-NA,NA-NA
OP556335,NA-NA,1669-4546,NA-NA
PP872125,NA-NA,0-2322,NA-NA
PP872081,NA-NA,0-3510,NA-NA
PP872079,NA-NA,0-3621,NA-NA
PP872073,NA-NA,0-3513,NA-NA
PP872065,NA-NA,0-1221,NA-NA
PP872056,NA-NA,0-3621,NA-NA
PP872047,NA-NA,324-3834,NA-NA
PP872043,NA-NA,0-3621,NA-NA
PP872023,NA-NA,0-2310,NA-NA
PP872011,NA-NA,0-3513,NA-NA
PP872000,NA-NA,0-3510,NA-NA
PP871991,NA-NA,0-915,NA-NA
PP871984,NA-NA,0-3621,NA-NA
PP871979,NA-NA,0-3621,NA-NA
PP871965,NA-NA,NA-NA,NA-NA
PP871961,NA-NA,0-3621,NA-NA
PP871925,NA-NA,0-987,NA-NA
PP871909,NA-NA,NA-NA,NA-NA
PP871885,NA-NA,NA-NA,NA-NA
PP871858,NA-NA,0-1047,NA-NA
PP871855,NA-NA,NA-NA,NA-NA
PP871845,NA-NA,0-2811,NA-NA
PV708886,NA-NA,2614-4093,NA-NA
PV470470,NA-NA,0-1631,NA-NA
LC877794,NA-NA,NA-NA,NA-NA
PQ569844,NA-NA,NA-NA,NA-NA
PP211426,NA-NA,31-4261,NA-NA
PP211349,NA-NA,1-3673,NA-NA
PP211348,NA-NA,333-3627,NA-NA
PP211347,NA-NA,2-3674,NA-NA
PP211346,NA-NA,1-3673,NA-NA
PP211345,NA-NA,1-3673,NA-NA
PP211344,NA-NA,2-3677,NA-NA
PP211343,NA-NA,3-3678,NA-NA
PP211271,NA-NA,NA-NA,NA-NA
PP211270,NA-NA,1-930,NA-NA
PP211238,NA-NA,1-1153,NA-NA
PP211223,NA-NA,1-2935,NA-NA
PP211222,NA-NA,1-1330,NA-NA
PP211221,NA-NA,1-2065,NA-NA
PV544235,NA-NA,2176-3727,NA-NA
PV351774,2479-3898,NA-NA,NA-NA
PV351773,2881-4072,NA-NA,NA-NA
PV351772,2596-4030,NA-NA,NA-NA
PV351771,3431-4223,NA-NA,NA-NA
PV351770,2335-3754,NA-NA,NA-NA
PQ583783,NA-NA,0-591,NA-NA
PG036827,NA-NA,NA-NA,NA-NA
PG036826,NA-NA,NA-NA,NA-NA
PG036825,NA-NA,NA-NA,NA-NA
PG036824,NA-NA,NA-NA,NA-NA
PG036823,NA-NA,NA-NA,NA-NA
PG036822,NA-NA,NA-NA,NA-NA
PG036821,NA-NA,NA-NA,NA-NA
PG036820,NA-NA,NA-NA,NA-NA
PV335594,NA-NA,NA-NA,NA-NA
PV335593,NA-NA,NA-NA,NA-NA
PV089624,21-2554,2553-4085,NA-NA
PV089611,NA-NA,NA-NA,NA-NA
PV089610,NA-NA,NA-NA,NA-NA
PV089609,NA-NA,NA-NA,NA-NA
PP357251,NA-NA,0-424,NA-NA
PP357250,NA-NA,0-423,NA-NA
PP357249,NA-NA,0-422,NA-NA
PV210984,NA-NA,NA-NA,NA-NA
PV210983,NA-NA,NA-NA,NA-NA
PV210982,NA-NA,NA-NA,NA-NA
